question,predicted,gold,correct,confidence,mi_score,agreement
An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?,C,C,1,0.6550880383892064,0.0,1.0
A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?,B,B,1,0.9521183538725497,0.0,1.0
The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?,C,C,1,0.9009235727717578,0.0,1.0
"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?",D,D,1,0.9685436631118883,0.0,1.0
An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?,D,D,1,0.3782794840183567,0.0,1.0
Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?,B,B,1,0.6847669343463983,0.0,1.0
"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?",C,C,1,0.5807118601542646,0.0,1.0
Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?,C,C,1,0.9619810515012358,0.0,1.0
Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?,C,B,0,0.4075967960444318,0.0,1.0
Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?,A,A,1,0.9863270549808193,0.0,1.0
"According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?",B,B,1,0.5648303721429009,0.0,1.0
Which statement best describes the effect of the Sun on the oceans?,A,A,1,0.9868754141757102,0.0,1.0
"The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?",C,C,1,0.8381687939496818,0.0,1.0
A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?,D,C,0,0.8226806832876238,0.0,1.0
Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?,C,C,1,0.930907744828974,0.0,1.0
At which temperature does water freeze?,A,A,1,0.9968137506589303,0.0,1.0
"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Which is best for a scientist to do when reporting research on dinosaurs now?",C,C,1,0.9724204260043289,0.0,1.0
"Molly was making iced tea by putting tea bags in boiling water. She needed to cool the hot tea quickly, so she poured it into a pitcher full of ice. Which best describes the flow of thermal energy?",B,B,1,0.8844421039713832,0.0,1.0
Logging companies cut trees in a forest and send the trees to lumber mills far from the forest. The mills make boards that are used for construction. Some logging companies do not plant tree seedlings after cutting trees. Not planting tree seedlings might affect people who need boards in the future because,A,A,1,0.5702468878179202,0.0,1.0
"It was once thought that living organisms could come from non-living matter. For example, people believed that flies would develop from rotting meat. This idea was later disproved primarily because of",D,C,0,0.9373572377272783,0.0,1.0
Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?,B,B,1,0.8801959823775898,0.0,1.0
"When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?",B,B,1,0.9514324224667693,0.0,1.0
Which is a fact about penguins?,A,A,1,0.9983294159442491,0.0,1.0
"A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately",C,C,1,0.5469797073867637,0.0,1.0
"Snow, rain, hail, and fog are all forms of",B,B,1,0.9783517207584937,0.0,1.0
"Scott filled a tray with juice and put it in a freezer. The next day, Scott opened the freezer. How did the juice most likely change?",D,D,1,0.9894417539703753,0.0,1.0
"On August 21, a flash flood warning was issued for the Las Vegas area. Which statement best describes this warning in terms of weather and climate?",D,B,0,0.6827151832014132,0.0,1.0
Students heated three objects to different temperatures during a classroom demonstration. Each object emitted light of a different color as shown below. Object 1: blue light Object 2: red light Object 3: orange light Which list presents the objects in order from highest to lowest temperature?,D,B,0,0.4236950304986541,0.0,1.0
Tiny organisms called plankton live in oceans. Some plankton can take energy from the Sun and turn it into food. How are plankton most useful to the animals that live in the ocean?,C,C,1,0.9363634814207957,0.0,1.0
